ad_id,period,budget,target_CPA,conversion,CPA,budget_used,win_rate,spend,total_win,trajectory_length,CPA_violation
59168672,20260207,114.30078,2.51,41.728572589999985,1.6602583242112292,0.606121935475856,0.005189700415482178,69.28021000000001,9493,72,-0.33854250031425126
59191554,20260207,38.46153846153846,2.13,19.65786732,1.1910707107163443,0.6087616600000001,0.007145612343297975,23.41391,5187,72,-0.44081187290312474
59250609,20260207,59.70149253731344,6.1,4.1823460699999995,3.2753626244037726,0.229453225,0.01802334305960817,13.698700000000002,21619,72,-0.46305530747479134
59252315,20260207,40.94131000000001,1.5,4.90639966,0.9706445316360552,0.11632187636399519,0.004943009515842309,4.762370000000001,4727,72,-0.35290364557596315
59262247,20260207,107.01659,1.61,75.86964482,0.6698374576626889,0.47488272612685567,0.02368569633126103,50.82033,987523,72,-0.5839518896505038
59265523,20260207,41.27358490566038,3.61,2.889063029999999,4.352888763385685,0.3046929417142857,0.003269913425441173,12.575769999999999,25608,72,0.20578636104866635
59289693,20260207,12.224938875305623,8.5,0.5073364399999993,9.40238000645096,0.39019990600000004,0.011097128105840594,4.77017,3439,72,0.10616235370011291
59313228,20260207,34.48846999999999,8.56,2.0856091599999984,3.623718261766747,0.21913584453007054,0.0032282058911038383,7.55766,2170,72,-0.5766684273636978
59370907,20260207,40.81632653061224,1.39,8.33626761,1.3111851144135713,0.26779455500000005,0.003647558944692786,10.93039,8323,72,-0.056701356536998974
59397478,20260207,1428.6078200000013,2.5,414.76037126000006,2.107125970943225,0.6117510612534651,0.01472693211405347,873.95235,46381,72,-0.15714961162271007
59437197,20260207,152.54237288135593,5.0,16.1510875,2.8022422638723246,0.29669959333333334,0.0067107121242687105,45.25926,6653,72,-0.4395515472255351
59469459,20260207,28.457570000000004,1.45,9.77569584,1.0808499131863334,0.37129171605305716,0.010530983343890897,10.56606,28262,72,-0.2545862667680459
59469464,20260207,74.94802000000001,1.45,77.39415861,0.7098819986771091,0.7330509865370691,0.038720227141279775,54.94072,147284,72,-0.5104262078088903
59473467,20260207,1000.0,9.99,0.2418420399999997,3.8170782879601948,0.0009231299999999998,0.007703289882060832,0.9231299999999998,1241,72,-0.6179100812852658
59506934,20260207,32.65375000000002,1.62,16.70791339,0.9128279303343932,0.46706580408069487,0.0026943457390437007,15.251449999999998,4322,72,-0.43652596892938694
59718544,20260207,379.8454299999999,4.15,77.63524532,2.7436655751138166,0.5607679681706321,0.3459153439153439,213.00515000000001,32689,72,-0.33887576503281536
59764696,20260207,91.22524,4.15,9.140238239999999,1.7727765485465075,0.17762189499309622,0.026650018184022305,16.2036,219836,72,-0.5728249280610826
59770476,20260207,861.0274499999999,3.68,196.11851326999997,2.345526499921545,0.534246811759602,0.013706576109402964,460.0011700000001,59736,72,-0.3626286684995802
59790006,20260207,10.658120000000002,1.49,13.266189650000001,0.7818567556811612,0.9731791347817438,0.0012820733968692051,10.37226,2973,72,-0.4752639223616368
59818654,20260207,106.38297872340424,1.5,6.133863259999998,0.5175221333512415,0.029839454000000005,0.005147566117286316,3.17441,1343,72,-0.6549852444325056
59870194,20260207,41.35039,1.2,3.6109786800000006,1.7014611673088027,0.1485823954743837,0.030844277673545965,6.143940000000001,4932,72,0.41788430609066896
59873387,20260207,1000.0,5.3,0.1523252999999997,3.5814142496354906,0.00054554,0.054940711462450595,0.5455399999999999,1390,72,-0.3242614623329263
59941171,20260207,6.730769230769231,6.6,3.2012895599999984,2.0334399241285763,0.9671450285714285,0.2803260869565217,6.50963,2579,72,-0.6919030417987007
59942526,20260207,81.56946999999998,1.36,71.78132998,0.7364183697171446,0.6480499382918634,0.010508858506593317,52.86108999999999,12990,72,-0.4585159046197467
59985139,20260207,83.23513,1.16,22.090751589999996,0.5260599646261289,0.13961725055274138,0.013782961460446247,11.62106,1359,72,-0.5465000304947164
59999397,20260207,869.5652173913044,6.5,1.2908136399999992,3.574706570345819,0.005306422,0.00042812847829543646,4.61428,1077,72,-0.4500451430237202
60033250,20260207,48.95666000000001,1.24,42.918783,1.1454211085155888,1.0041551037182683,0.014157733537519143,49.16008000000001,7396,72,-0.0762732995842026
60081691,20260207,71.94244604316546,3.08,5.718500619999999,1.269079166419676,0.10087549700000001,0.004916776934326903,7.25723,14120,72,-0.5879613096040013
60140024,20260207,353.31129000000004,2.21,162.60997909000002,1.163488126981961,0.5354903320525081,0.0016713875897979846,189.19477999999998,27733,72,-0.4735347841710584
60144222,20260207,258.71110000000004,2.07,162.68881801000003,1.4376479149637897,0.9040556821875828,0.017348368358106953,233.88924,20308,72,-0.30548409905130924
60163679,20260207,26.848240000000004,1.81,10.12757828,1.3256644015789332,0.5000614565424027,0.005957292797683677,13.42577,1646,72,-0.2675887284094292
60190295,20260207,30.120481927710845,3.0,5.84173005,2.608386534396604,0.505884668,0.011012570737396863,15.237490000000001,25493,72,-0.1305378218677986
60222062,20260207,4.57056,2.5,3.512663129999998,0.9781638240954807,0.7517590842260027,0.004315597075548335,3.4359599999999992,4250,72,-0.6087344703618077
60257685,20260207,166.66666666666666,1.14,50.54195902,0.6235717928450016,0.18909924000000003,0.0007531812449845237,31.516540000000003,3942,72,-0.4530071992587704
60279269,20260207,5340.28227,2.29,1368.993826169999,1.5528944100117579,0.39808810705431114,0.004502734937053476,2125.9028599999997,162415,72,-0.32188017030054245
60280132,20260207,5.154639175257732,2.4,1.06686943,0.0,0.0,0.010383255813953489,0.0,5581,72,-1.0
60299590,20260207,833.3333333333334,5.11,75.82956043,4.817436998559692,0.438364956,0.0235578028627953,365.30413,1012161,72,-0.057253033549962556
60300280,20260207,125.0,6.5,24.164395879999994,4.042689520777707,0.7815131999999999,0.6244387755102041,97.68914999999998,24478,72,-0.3780477660341989
60363119,20260207,139.53488372093022,8.1,17.93302123,3.403725407846405,0.43744674,0.006539272535582499,61.03908,2481,72,-0.579786986685629
60371761,20260207,2164.6189100000006,2.47,1172.7072273100002,1.7740084153587783,0.9610894926534664,0.011056549520766772,2080.39249,207642,72,-0.2817779694903732
60374272,20260207,402.23784,1.94,310.88509954999984,1.2579067011125917,0.9722219321782355,0.00856758298570257,391.06444999999997,48059,72,-0.3515944839625816
60504423,20260207,65.78731,2.35,8.57009342,1.523455971848671,0.1984601589577078,0.005028877887788779,13.05616,3657,72,-0.3517208630431187
60518154,20260207,2168.27759,1.63,1459.57807851,1.1712830064871975,0.7884502463542962,0.005647001669199531,1709.5789999999997,135999,72,-0.2814214684127622
60518258,20260207,19.23076923076923,2.22,8.53345646,1.9034069109201268,0.8446172800000001,0.013472144063027575,16.24264,2394,72,-0.14260949958552854
60537191,20260207,62.5,9.0,0.7605926099999993,3.653309226867196,0.04445888,0.25508928571428574,2.77868,2857,72,-0.5940767525703117
60548432,20260207,148.91858999999997,1.73,121.73846705000003,1.2188282273922386,0.9963717760153384,0.003180258162490509,148.37828,20942,72,-0.29547501306807017
60566933,20260207,14.03152,5.9,1.1282154199999987,7.5285799586040145,0.6053414027845879,0.27265625,8.493860000000002,1745,72,0.2760305014583075
60619154,20260207,346.15384615384613,8.8,0.7949493999999991,3.9788192808246707,0.00913744,0.0075647668393782385,3.16296,2190,72,-0.5478614453608329
60632826,20260207,103.90999000000002,7.7,23.06585713,3.268534942148061,0.7255467929503215,0.021213075337760477,75.39156,74110,72,-0.5755149425781739
60656113,20260207,304.366,3.0,115.27257251999998,1.6945611235153861,0.6417813421998515,0.008842385271940903,195.33642,46205,72,-0.43514629216153794
60666367,20260207,144.92753623188406,1.95,23.86429345,1.062162181885171,0.17489947499999997,0.010040668271075302,25.347749999999998,143938,72,-0.4553014451870918
60679832,20260207,84.40433999999999,1.33,104.07477300999997,0.622716227243396,0.7678402556077093,0.005226171845890156,64.80905,56104,72,-0.5317923103433113
60726038,20260207,47.8357,9.0,11.819992299999997,3.9694002169527645,0.980821436709403,0.0001872077460716115,46.918279999999996,31724,72,-0.5589555314496928
60739483,20260207,14.583333333333334,1.78,5.456920499999997,0.40989418848964376,0.15337782857142856,0.5357833505687694,2.23676,207241,72,-0.7697223660170541
60739866,20260207,99.7291,1.09,77.94989387999999,0.49769112014088107,0.38900351050997156,0.014751971840166873,38.794970000000006,22631,42,-0.5434026420725862
60741109,20260207,612.09021,1.82,352.99568687,0.8441795214051535,0.48684282991554473,0.0017224080267558529,297.99173,24102,72,-0.5361650981290366
